Market,Trend,Model,Return,Max_DD,Sharpe,Win_Rate,Trades,ASF_Score,Pareto_Rank,Best_Model
BTC,downtrend,LSTM,13.28,-48.1,0.19,57.45,94,-1.0,1,CNN
BTC,downtrend,RandomForest,-5.61,-64.15,0.12,52.07,386,-1.0,2,CNN
BTC,downtrend,XGBoost,46.03,-60.88,0.34,52.36,445,-1.0,1,CNN
BTC,downtrend,MLP,-25.53,-65.8,0.02,48.34,151,-1.0,3,CNN
BTC,downtrend,CNN,21.22,-28.28,0.26,58.62,29,0.25,0,CNN
BTC,downtrend,Transformer,-34.78,-83.79,0.08,41.38,29,-1.0,3,CNN
BTC,downtrend,SVM,112.86,-38.57,0.46,57.66,137,0.25,0,CNN
BTC,uptrend,RandomForest,4.64,-59.9,0.18,48.24,284,0.1494,0,XGBoost
BTC,uptrend,CNN,-40.35,-54.82,-0.05,48.68,76,0.25,0,XGBoost
BTC,uptrend,MLP,-78.14,-89.23,-0.27,46.72,351,-1.0,1,XGBoost
BTC,uptrend,SVM,71.45,-82.02,0.39,58.33,96,0.25,0,XGBoost
BTC,uptrend,XGBoost,20.82,-70.97,0.27,48.33,269,0.1484,0,XGBoost
BTC,uptrend,LSTM,-39.04,-61.45,-0.01,52.35,170,0.2471,0,XGBoost
BTC,uptrend,Transformer,29.35,-74.99,0.31,20.0,5,0.25,0,XGBoost
Gold,downtrend,Transformer,121.69,-13.08,1.21,33.33,3,0.25,0,Transformer
Gold,downtrend,XGBoost,34.56,-20.97,0.6,55.56,63,-1.0,1,Transformer
Gold,downtrend,RandomForest,102.78,-13.08,1.23,81.82,11,0.25,0,Transformer
Gold,downtrend,LSTM,35.39,-23.28,0.58,53.57,28,-1.0,2,Transformer
Gold,downtrend,SVM,37.26,-18.71,0.58,55.88,34,-1.0,1,Transformer
Gold,downtrend,MLP,113.96,-14.69,1.3,68.09,47,0.25,0,Transformer
Gold,downtrend,CNN,65.6,-18.25,0.88,50.0,18,-1.0,1,Transformer
Gold,uptrend,CNN,199.17,-20.05,1.42,50.0,8,0.178,0,CNN
Gold,uptrend,SVM,163.77,-20.74,1.26,63.64,11,-1.0,1,CNN
Gold,uptrend,LSTM,126.89,-16.86,1.21,65.79,38,0.25,0,CNN
Gold,uptrend,MLP,187.17,-21.34,1.39,71.43,28,0.25,0,CNN
Gold,uptrend,Transformer,200.1,-20.17,1.39,0.0,2,0.25,0,CNN
Gold,uptrend,XGBoost,181.09,-20.28,1.36,65.71,35,0.1908,0,CNN
Gold,uptrend,RandomForest,198.23,-20.28,1.39,0.0,1,-1.0,1,CNN
Thai,downtrend,LSTM,-8.55,-14.98,-0.37,47.5,40,-1.0,1,RandomForest
Thai,downtrend,CNN,0.0,0.0,0.0,0.0,0,0.25,0,RandomForest
Thai,downtrend,MLP,-0.63,-16.44,0.07,45.95,148,-1.0,1,RandomForest
Thai,downtrend,Transformer,-4.61,-24.58,0.02,54.55,11,0.25,0,RandomForest
Thai,downtrend,RandomForest,2.09,-11.61,0.12,53.49,43,0.1181,0,RandomForest
Thai,downtrend,XGBoost,-10.49,-29.91,-0.18,56.45,287,-1.0,1,RandomForest
Thai,downtrend,SVM,-6.76,-15.71,-0.17,58.49,53,0.25,0,RandomForest
Thai,uptrend,MLP,-44.02,-47.07,-1.01,41.18,85,-1.0,2,CNN
Thai,uptrend,CNN,3.14,-10.71,0.16,60.0,25,0.25,0,CNN
Thai,uptrend,RandomForest,-9.06,-41.5,-0.12,42.42,33,-1.0,1,CNN
Thai,uptrend,LSTM,-13.98,-30.29,-0.42,49.09,55,-1.0,1,CNN
Thai,uptrend,SVM,-27.36,-44.94,-0.58,40.82,49,-1.0,2,CNN
Thai,uptrend,XGBoost,-42.23,-54.44,-0.96,53.21,156,-1.0,1,CNN
Thai,uptrend,Transformer,-11.62,-31.46,-0.22,62.0,50,0.25,0,CNN
UK,downtrend,SVM,14.73,-13.43,0.35,57.69,26,-1.0,2,CNN
UK,downtrend,CNN,47.98,-11.8,0.73,100.0,3,0.2197,0,CNN
UK,downtrend,MLP,18.19,-13.43,0.42,50.0,14,-1.0,2,CNN
UK,downtrend,XGBoost,42.12,-15.09,0.73,64.44,45,-1.0,2,CNN
UK,downtrend,RandomForest,66.46,-13.43,0.92,100.0,2,0.25,0,CNN
UK,downtrend,LSTM,49.89,-13.43,0.76,100.0,12,-1.0,1,CNN
UK,downtrend,Transformer,0.0,0.0,0.0,0.0,0,0.25,0,CNN
UK,uptrend,MLP,56.24,-13.43,0.85,100.0,12,0.25,0,SVM
UK,uptrend,Transformer,43.14,-12.25,0.81,64.29,14,-1.0,1,SVM
UK,uptrend,LSTM,12.0,-23.38,0.26,53.33,15,-1.0,2,SVM
UK,uptrend,SVM,63.92,-9.59,1.09,66.67,21,0.2222,0,SVM
UK,uptrend,CNN,51.02,-13.43,0.75,0.0,0,-1.0,2,SVM
UK,uptrend,XGBoost,26.06,-9.38,0.55,62.5,112,0.25,0,SVM
UK,uptrend,RandomForest,56.36,-13.43,0.8,0.0,0,-1.0,1,SVM
US,downtrend,CNN,26.44,-19.3,0.45,50.0,2,-1.0,1,MLP
US,downtrend,MLP,64.98,-26.01,0.73,66.67,12,0.25,0,MLP
US,downtrend,SVM,32.11,-15.07,0.58,68.0,25,0.25,0,MLP
US,downtrend,RandomForest,46.64,-27.23,0.59,54.55,11,-1.0,1,MLP
US,downtrend,XGBoost,-2.04,-23.59,0.02,59.02,61,-1.0,1,MLP
US,downtrend,LSTM,41.15,-29.21,0.53,40.0,5,-1.0,2,MLP
US,downtrend,Transformer,83.47,-19.25,0.89,50.0,2,0.25,0,MLP
US,uptrend,LSTM,61.73,-27.68,0.68,33.33,3,-1.0,2,MLP
US,uptrend,RandomForest,69.41,-24.5,0.73,33.33,3,-1.0,1,MLP
US,uptrend,XGBoost,43.1,-19.36,0.56,70.91,55,0.25,0,MLP
US,uptrend,MLP,43.35,-19.49,0.58,75.0,32,0.2353,0,MLP
US,uptrend,Transformer,26.58,-5.11,0.9,100.0,3,0.25,0,MLP
US,uptrend,SVM,55.99,-23.76,0.69,70.83,24,0.25,0,MLP
US,uptrend,CNN,75.96,-18.88,0.82,33.33,3,0.25,0,MLP
