Trend,Model,Accuracy,Acc_Thai,Acc_Gold,Acc_UK,Acc_US,Acc_BTC
uptrend,LSTM,53.55,52.5,62.38,67.05,30.0,48.44
uptrend,CNN,53.55,53.75,67.82,54.34,45.71,38.28
uptrend,MLP,52.3,50.0,56.44,50.29,52.14,51.56
uptrend,Transformer,44.08,43.13,37.13,63.01,34.29,41.41
uptrend,RandomForest,52.93,50.62,62.87,39.31,48.57,63.28
uptrend,SVM,51.06,48.12,50.5,54.34,40.0,63.28
uptrend,XGBoost,46.95,50.0,60.4,42.2,29.29,47.66
uptrend,Ensemble,53.67,48.75,58.42,58.38,41.43,59.38
downtrend,LSTM,52.46,59.0,56.35,50.0,47.47,66.67
downtrend,CNN,49.79,59.0,58.01,48.32,42.09,55.0
downtrend,MLP,54.91,59.0,57.46,54.03,52.19,58.33
downtrend,Transformer,56.52,66.0,70.72,50.67,53.2,43.33
downtrend,RandomForest,53.85,60.0,62.43,58.05,45.12,40.0
downtrend,SVM,57.37,61.0,61.88,57.38,52.86,60.0
downtrend,XGBoost,52.03,59.0,60.22,48.99,48.48,48.33
downtrend,Ensemble,55.13,60.0,65.19,55.03,46.8,58.33
