Market,Trend,Model,Return (%),B&H (%),Max DD (%),Final $
US,uptrend,LSTM,-1.22,24.69,-1.73,9878.43
US,uptrend,CNN,0.0,24.69,0.0,10000.0
US,uptrend,MLP,-2.72,24.69,-3.55,9727.76
US,uptrend,Transformer,4.54,24.69,-3.07,10454.21
US,uptrend,RandomForest,-6.55,24.69,-10.19,9344.5
US,uptrend,SVM,0.0,24.69,0.0,10000.0
US,downtrend,LSTM,69.94,-55.09,-32.15,16993.89
US,downtrend,CNN,14.46,-55.09,-33.82,11445.55
US,downtrend,MLP,51.14,-55.09,-18.19,15113.69
US,downtrend,Transformer,86.66,-55.09,-21.94,18666.41
US,downtrend,RandomForest,-60.34,-55.09,-63.97,3966.3
US,downtrend,SVM,23.41,-55.09,-30.23,12341.05
UK,uptrend,LSTM,-12.94,1.78,-13.29,8705.65
UK,uptrend,CNN,3.24,1.78,-11.55,10323.59
UK,uptrend,MLP,-20.26,1.78,-24.98,7974.41
UK,uptrend,Transformer,-15.79,1.78,-19.63,8421.37
UK,uptrend,RandomForest,-19.38,1.78,-23.42,8062.19
UK,uptrend,SVM,-16.08,1.78,-20.13,8392.45
UK,downtrend,LSTM,70.16,-42.09,-28.84,17016.29
UK,downtrend,CNN,9.75,-42.09,-31.52,10974.76
UK,downtrend,MLP,41.07,-42.09,-15.96,14107.41
UK,downtrend,Transformer,38.97,-42.09,-21.0,13896.91
UK,downtrend,RandomForest,-54.48,-42.09,-57.38,4551.57
UK,downtrend,SVM,28.38,-42.09,-27.91,12838.21
Thai,uptrend,LSTM,-4.79,15.63,-8.18,9521.42
Thai,uptrend,CNN,0.99,15.63,-6.14,10099.42
Thai,uptrend,MLP,-14.36,15.63,-18.49,8563.61
Thai,uptrend,Transformer,-8.0,15.63,-10.43,9199.91
Thai,uptrend,RandomForest,-11.87,15.63,-18.6,8812.69
Thai,uptrend,SVM,1.8,15.63,-4.1,10180.32
Thai,downtrend,LSTM,17.96,-17.58,-16.82,11796.3
Thai,downtrend,CNN,11.58,-17.58,-16.82,11157.6
Thai,downtrend,MLP,12.57,-17.58,-16.82,11256.76
Thai,downtrend,Transformer,12.49,-17.58,-16.82,11249.06
Thai,downtrend,RandomForest,1.17,-17.58,-18.53,10117.04
Thai,downtrend,SVM,-14.8,-17.58,-26.15,8520.03
Gold,uptrend,LSTM,-6.74,46.1,-15.86,9326.43
Gold,uptrend,CNN,2.83,46.1,-5.18,10283.22
Gold,uptrend,MLP,6.68,46.1,-12.94,10668.35
Gold,uptrend,Transformer,1.55,46.1,-14.47,10154.79
Gold,uptrend,RandomForest,-13.58,46.1,-19.67,8642.27
Gold,uptrend,SVM,0.72,46.1,-12.33,10072.26
Gold,downtrend,LSTM,-10.82,-1.88,-14.08,8917.96
Gold,downtrend,CNN,-0.99,-1.88,-9.0,9900.96
Gold,downtrend,MLP,-16.86,-1.88,-17.59,8313.78
Gold,downtrend,Transformer,-8.31,-1.88,-11.21,9168.5
Gold,downtrend,RandomForest,-17.97,-1.88,-19.78,8202.51
Gold,downtrend,SVM,-9.57,-1.88,-10.3,9042.82
BTC,uptrend,LSTM,-5.85,545.08,-47.96,9414.63
BTC,uptrend,CNN,-65.36,545.08,-70.19,3463.65
BTC,uptrend,MLP,-64.5,545.08,-70.97,3550.49
BTC,uptrend,Transformer,237.63,545.08,-37.09,33762.6
BTC,uptrend,RandomForest,-0.97,545.08,-57.55,9902.82
BTC,uptrend,SVM,544.44,545.08,-35.51,64443.62
BTC,downtrend,LSTM,6.72,-1.41,-12.59,10671.51
BTC,downtrend,CNN,12.29,-1.41,-12.59,11229.24
BTC,downtrend,MLP,-11.01,-1.41,-14.81,8899.07
BTC,downtrend,Transformer,-1.18,-1.41,-12.59,9882.4
BTC,downtrend,RandomForest,2.35,-1.41,-8.75,10235.03
BTC,downtrend,SVM,8.88,-1.41,-15.74,10887.71
