Market,Trend,Final Equity,Total Return (%),Buy&Hold Return (%),Max Drawdown (%)
US,uptrend,9878.425791327998,-1.21574208672002,24.685096638829595,-1.728951563583498
US,downtrend,16993.891495262265,69.93891495262265,-55.08752736559709,-32.14952087998689
UK,uptrend,8705.652789280348,-12.943472107196522,1.7759050801921257,-13.294048612129059
UK,downtrend,17016.288125825162,70.16288125825162,-42.09364239973081,-28.844790664335644
Thai,uptrend,9521.415807229654,-4.7858419277034585,15.62876804585902,-8.183610894966568
Thai,downtrend,11796.297559986262,17.96297559986262,-17.583122140203336,-16.81706499590428
Gold,uptrend,9326.428023259396,-6.735719767406044,46.10467439073112,-15.858774573991258
Gold,downtrend,8917.961077937991,-10.820389220620092,-1.877209770739513,-14.077000535491543
BTC,uptrend,9414.628334141495,-5.8537166585850535,545.0812943809079,-47.955863273221475
BTC,downtrend,10671.512790941464,6.71512790941464,-1.4113262511835498,-12.592712885593807
