Trend,Model,Accuracy,Acc_Thai,Acc_UK,Acc_US,Acc_BTC,Acc_Gold
uptrend,LSTM,44.58,45.63,38.73,32.86,53.91,50.99
uptrend,CNN,44.83,41.25,62.43,19.29,57.03,42.57
uptrend,MLP,45.83,46.88,47.98,28.57,44.53,55.94
uptrend,Transformer,45.08,39.38,61.85,22.86,56.25,43.56
uptrend,RandomForest,51.81,43.12,52.02,35.71,60.16,64.36
uptrend,SVM,52.8,50.62,68.21,32.86,63.28,48.51
uptrend,Ensemble,50.68,43.75,64.16,32.14,62.5,50.0
downtrend,LSTM,55.34,63.0,55.03,54.55,51.67,54.14
downtrend,CNN,54.49,61.0,53.02,58.25,48.33,49.17
downtrend,MLP,52.56,58.0,50.0,51.85,50.0,55.8
downtrend,Transformer,52.24,58.0,50.67,51.18,43.33,56.35
downtrend,RandomForest,55.98,66.0,50.34,56.9,55.0,58.56
downtrend,SVM,46.47,58.0,42.62,44.78,46.67,49.17
downtrend,Ensemble,50.96,66.0,44.3,51.52,48.33,53.59
