Market,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $
US,LSTM,-26.86,27.75,-31.22,7313.52
US,CNN,-29.02,27.75,-34.79,7098.44
US,MLP,-34.66,27.75,-36.47,6533.79
US,Transformer,-17.07,27.75,-25.28,8293.01
US,RandomForest,-22.24,27.75,-30.32,7775.91
US,SVM,-33.9,27.75,-35.68,6610.41
UK,LSTM,-17.35,14.2,-34.29,8265.1
UK,CNN,7.66,14.2,-16.86,10766.27
UK,MLP,6.7,14.2,-13.55,10670.2
UK,Transformer,-0.78,14.2,-11.13,9922.49
UK,RandomForest,1.93,14.2,-33.21,10193.15
UK,SVM,20.68,14.2,-23.43,12068.32
Thai,LSTM,33.06,2.3,-13.88,13306.04
Thai,CNN,-4.27,2.3,-23.57,9573.27
Thai,MLP,10.75,2.3,-23.97,11075.13
Thai,Transformer,2.11,2.3,-16.84,10211.34
Thai,RandomForest,-35.79,2.3,-34.82,6421.08
Thai,SVM,-8.79,2.3,-18.31,9120.91
Gold,LSTM,7.74,-8.32,-18.15,10774.36
Gold,CNN,-4.02,-8.32,-14.78,9597.6
Gold,MLP,17.46,-8.32,-12.77,11746.49
Gold,Transformer,-11.81,-8.32,-19.92,8819.22
Gold,RandomForest,-12.02,-8.32,-23.38,8797.76
Gold,SVM,-18.27,-8.32,-27.1,8173.48
BTC,LSTM,-27.95,76.7,-61.96,7204.79
BTC,CNN,-42.32,76.7,-65.33,5768.26
BTC,MLP,-63.82,76.7,-74.98,3617.57
BTC,Transformer,150.5,76.7,-42.28,25049.91
BTC,RandomForest,-33.15,76.7,-61.73,6685.1
BTC,SVM,-27.86,76.7,-54.2,7214.19
